feature_id,layer12_width16k_l0_82_probe_a,layer20_width16k_l0_71_probe_a,layer25_width16k_l0_116_probe_a,best_layer,best_auc,worst_auc,spread
566,0.8294370969998944,0.7425943304877489,0.9078757679104668,layer25_width16k_l0_116_probe_a,0.9078757679104668,0.7425943304877489,0.16528143742271784
567,0.8783773785755147,0.7259014629771483,0.6693544090037189,layer12_width16k_l0_82_probe_a,0.8783773785755147,0.6693544090037189,0.20902296957179578
568,0.7839769229276389,0.6894303545744533,0.6238436646686224,layer12_width16k_l0_82_probe_a,0.7839769229276389,0.6238436646686224,0.16013325825901648
569,0.7740944357245506,0.7372637507558705,0.6836226630859046,layer12_width16k_l0_82_probe_a,0.7740944357245506,0.6836226630859046,0.09047177263864603
570,0.9118179864831816,0.8896694007789671,0.9978357332046588,layer25_width16k_l0_116_probe_a,0.9978357332046588,0.8896694007789671,0.10816633242569174
571,0.7638797808922062,0.9922994358174854,0.9553738382108636,layer20_width16k_l0_71_probe_a,0.9922994358174854,0.7638797808922062,0.22841965492527916
572,0.9872268377663598,0.989045146815962,0.7231374196074108,layer20_width16k_l0_71_probe_a,0.989045146815962,0.7231374196074108,0.26590772720855116
573,0.9332106541509584,0.8815903121490527,0.6500169235374604,layer12_width16k_l0_82_probe_a,0.9332106541509584,0.6500169235374604,0.28319373061349795
574,0.980608835514998,0.8891943094644851,0.6881949085490077,layer12_width16k_l0_82_probe_a,0.980608835514998,0.6881949085490077,0.29241392696599033
575,0.7342907113932178,0.7612145428826069,0.861563533580211,layer25_width16k_l0_116_probe_a,0.861563533580211,0.7342907113932178,0.1272728221869932
576,0.7660818946261903,0.8239376322095109,0.6401052240381084,layer20_width16k_l0_71_probe_a,0.8239376322095109,0.6401052240381084,0.18383240817140245
577,0.886975003314316,0.618769776147213,0.9068516014013968,layer25_width16k_l0_116_probe_a,0.9068516014013968,0.618769776147213,0.2880818252541838
578,0.9620795267258612,0.9882263642485394,0.7416783126192679,layer20_width16k_l0_71_probe_a,0.9882263642485394,0.7416783126192679,0.24654805162927151
579,0.7651980432262698,0.9816012093062856,0.6858558279256093,layer20_width16k_l0_71_probe_a,0.9816012093062856,0.6858558279256093,0.2957453813806763
580,0.9837691346143838,0.6990013150790181,0.9436857026870316,layer12_width16k_l0_82_probe_a,0.9837691346143838,0.6990013150790181,0.2847678195353657
581,0.8194430754345278,0.99373567008575,0.9649528379548186,layer20_width16k_l0_71_probe_a,0.99373567008575,0.8194430754345278,0.17429259465122227
582,0.9813273179168748,0.94764480532265,0.697160532401526,layer12_width16k_l0_82_probe_a,0.9813273179168748,0.697160532401526,0.2841667855153488
583,0.9404778715570192,0.9935718733914072,0.9990727839621848,layer25_width16k_l0_116_probe_a,0.9990727839621848,0.9404778715570192,0.05859491240516557
584,0.8072153814879455,0.6612796628624374,0.6143930052914219,layer12_width16k_l0_82_probe_a,0.8072153814879455,0.6143930052914219,0.19282237619652354
585,0.893802660236783,0.8052425099433232,0.9807412030480984,layer25_width16k_l0_116_probe_a,0.9807412030480984,0.8052425099433232,0.17549869310477517
586,0.7063286188973072,0.9534262045652788,0.8315660449650204,layer20_width16k_l0_71_probe_a,0.9534262045652788,0.7063286188973072,0.24709758566797158
587,0.7659761031362089,0.998348165264852,0.6232549100112533,layer20_width16k_l0_71_probe_a,0.998348165264852,0.6232549100112533,0.3750932552535987
588,0.8594509428500415,0.6757756554616927,0.8018446938672865,layer12_width16k_l0_82_probe_a,0.8594509428500415,0.6757756554616927,0.18367528738834882
